feature_set,feature_index,feature
baseline,1,ppi_value
baseline,2,gscpi
baseline,3,wti_oil_price
baseline,4,ppi_pct_change
baseline,5,ppi_lag_1
baseline,6,ppi_pct_change_lag_1
baseline,7,ppi_ma_3
baseline,8,ppi_std_3
baseline,9,gscpi_pct_change
baseline,10,gscpi_lag_1
baseline,11,gscpi_pct_change_lag_1
baseline,12,wti_oil_price_pct_change
baseline,13,wti_oil_price_lag_1
baseline,14,wti_oil_price_pct_change_lag_1
ai_compact,1,ppi_value
ai_compact,2,ai_enriched_article_count
ai_compact,3,ai_relevant_share
ai_compact,4,ai_relevant_article_count
ai_compact,5,ai_high_relevance_share
ai_compact,6,ai_relevance_weighted_sentiment
ai_compact,7,ai_relevance_weighted_pressure_direction_score
ai_compact,8,ai_relevance_weighted_pressure_strength
ai_compact,9,ai_relevant_upward_pressure_share
ai_compact,10,ai_relevant_downward_pressure_share
ai_compact,11,gscpi
ai_compact,12,wti_oil_price
ai_compact,13,ai_no_articles
ai_compact,14,ai_articles_but_none_relevant
ai_compact,15,ai_relevant_articles_available
ai_compact,16,ai_relevant_article_count_lag_1
ai_compact,17,ai_relevant_article_count_lag_2
ai_compact,18,ai_relevant_article_count_lag_3
ai_compact,19,ai_relevant_article_count_roll_3_mean
ai_compact,20,ai_relevant_article_count_roll_3_std
ai_compact,21,ai_relevance_weighted_sentiment_lag_1
ai_compact,22,ai_relevance_weighted_sentiment_lag_2
ai_compact,23,ai_relevance_weighted_sentiment_lag_3
ai_compact,24,ai_relevance_weighted_sentiment_roll_3_mean
ai_compact,25,ai_relevance_weighted_sentiment_roll_3_std
ai_compact,26,ai_relevance_weighted_pressure_direction_score_lag_1
ai_compact,27,ai_relevance_weighted_pressure_direction_score_lag_2
ai_compact,28,ai_relevance_weighted_pressure_direction_score_lag_3
ai_compact,29,ai_relevance_weighted_pressure_direction_score_roll_3_mean
ai_compact,30,ai_relevance_weighted_pressure_direction_score_roll_3_std
ai_compact,31,ai_relevance_weighted_pressure_strength_lag_1
ai_compact,32,ai_relevance_weighted_pressure_strength_lag_2
ai_compact,33,ai_relevance_weighted_pressure_strength_lag_3
ai_compact,34,ai_relevance_weighted_pressure_strength_roll_3_mean
ai_compact,35,ai_relevance_weighted_pressure_strength_roll_3_std
ai_compact,36,ai_relevant_upward_pressure_share_lag_1
ai_compact,37,ai_relevant_upward_pressure_share_lag_2
ai_compact,38,ai_relevant_upward_pressure_share_lag_3
ai_compact,39,ai_relevant_upward_pressure_share_roll_3_mean
ai_compact,40,ai_relevant_upward_pressure_share_roll_3_std
ai_compact,41,ppi_pct_change
ai_compact,42,ppi_lag_1
ai_compact,43,ppi_pct_change_lag_1
ai_compact,44,ppi_ma_3
ai_compact,45,ppi_std_3
ai_compact,46,gscpi_pct_change
ai_compact,47,gscpi_lag_1
ai_compact,48,gscpi_pct_change_lag_1
ai_compact,49,wti_oil_price_pct_change
ai_compact,50,wti_oil_price_lag_1
ai_compact,51,wti_oil_price_pct_change_lag_1
baseline_with_persistence,1,ppi_value
baseline_with_persistence,2,gscpi
baseline_with_persistence,3,wti_oil_price
baseline_with_persistence,4,ppi_pct_change
baseline_with_persistence,5,ppi_lag_1
baseline_with_persistence,6,ppi_pct_change_lag_1
baseline_with_persistence,7,ppi_ma_3
baseline_with_persistence,8,ppi_std_3
baseline_with_persistence,9,gscpi_pct_change
baseline_with_persistence,10,gscpi_lag_1
baseline_with_persistence,11,gscpi_pct_change_lag_1
baseline_with_persistence,12,wti_oil_price_pct_change
baseline_with_persistence,13,wti_oil_price_lag_1
baseline_with_persistence,14,wti_oil_price_pct_change_lag_1
baseline_with_persistence,15,target_class_lag_1_score
baseline_with_persistence,16,target_class_lag_1_is_low
baseline_with_persistence,17,target_class_lag_1_is_medium
baseline_with_persistence,18,target_class_lag_1_is_high
ai_compact_with_persistence,1,ppi_value
ai_compact_with_persistence,2,ai_enriched_article_count
ai_compact_with_persistence,3,ai_relevant_share
ai_compact_with_persistence,4,ai_relevant_article_count
ai_compact_with_persistence,5,ai_high_relevance_share
ai_compact_with_persistence,6,ai_relevance_weighted_sentiment
ai_compact_with_persistence,7,ai_relevance_weighted_pressure_direction_score
ai_compact_with_persistence,8,ai_relevance_weighted_pressure_strength
ai_compact_with_persistence,9,ai_relevant_upward_pressure_share
ai_compact_with_persistence,10,ai_relevant_downward_pressure_share
ai_compact_with_persistence,11,gscpi
ai_compact_with_persistence,12,wti_oil_price
ai_compact_with_persistence,13,ai_no_articles
ai_compact_with_persistence,14,ai_articles_but_none_relevant
ai_compact_with_persistence,15,ai_relevant_articles_available
ai_compact_with_persistence,16,ai_relevant_article_count_lag_1
ai_compact_with_persistence,17,ai_relevant_article_count_lag_2
ai_compact_with_persistence,18,ai_relevant_article_count_lag_3
ai_compact_with_persistence,19,ai_relevant_article_count_roll_3_mean
ai_compact_with_persistence,20,ai_relevant_article_count_roll_3_std
ai_compact_with_persistence,21,ai_relevance_weighted_sentiment_lag_1
ai_compact_with_persistence,22,ai_relevance_weighted_sentiment_lag_2
ai_compact_with_persistence,23,ai_relevance_weighted_sentiment_lag_3
ai_compact_with_persistence,24,ai_relevance_weighted_sentiment_roll_3_mean
ai_compact_with_persistence,25,ai_relevance_weighted_sentiment_roll_3_std
ai_compact_with_persistence,26,ai_relevance_weighted_pressure_direction_score_lag_1
ai_compact_with_persistence,27,ai_relevance_weighted_pressure_direction_score_lag_2
ai_compact_with_persistence,28,ai_relevance_weighted_pressure_direction_score_lag_3
ai_compact_with_persistence,29,ai_relevance_weighted_pressure_direction_score_roll_3_mean
ai_compact_with_persistence,30,ai_relevance_weighted_pressure_direction_score_roll_3_std
ai_compact_with_persistence,31,ai_relevance_weighted_pressure_strength_lag_1
ai_compact_with_persistence,32,ai_relevance_weighted_pressure_strength_lag_2
ai_compact_with_persistence,33,ai_relevance_weighted_pressure_strength_lag_3
ai_compact_with_persistence,34,ai_relevance_weighted_pressure_strength_roll_3_mean
ai_compact_with_persistence,35,ai_relevance_weighted_pressure_strength_roll_3_std
ai_compact_with_persistence,36,ai_relevant_upward_pressure_share_lag_1
ai_compact_with_persistence,37,ai_relevant_upward_pressure_share_lag_2
ai_compact_with_persistence,38,ai_relevant_upward_pressure_share_lag_3
ai_compact_with_persistence,39,ai_relevant_upward_pressure_share_roll_3_mean
ai_compact_with_persistence,40,ai_relevant_upward_pressure_share_roll_3_std
ai_compact_with_persistence,41,ppi_pct_change
ai_compact_with_persistence,42,ppi_lag_1
ai_compact_with_persistence,43,ppi_pct_change_lag_1
ai_compact_with_persistence,44,ppi_ma_3
ai_compact_with_persistence,45,ppi_std_3
ai_compact_with_persistence,46,gscpi_pct_change
ai_compact_with_persistence,47,gscpi_lag_1
ai_compact_with_persistence,48,gscpi_pct_change_lag_1
ai_compact_with_persistence,49,wti_oil_price_pct_change
ai_compact_with_persistence,50,wti_oil_price_lag_1
ai_compact_with_persistence,51,wti_oil_price_pct_change_lag_1
ai_compact_with_persistence,52,target_class_lag_1_score
ai_compact_with_persistence,53,target_class_lag_1_is_low
ai_compact_with_persistence,54,target_class_lag_1_is_medium
ai_compact_with_persistence,55,target_class_lag_1_is_high
