model_name,comparison_type,baseline_feature_set,ai_feature_set,baseline_validation_macro_f1,ai_validation_macro_f1,validation_macro_f1_lift,baseline_test_macro_f1,ai_test_macro_f1,test_macro_f1_lift,baseline_test_accuracy,ai_test_accuracy,test_accuracy_lift,period_start_year
logistic_regression,compact_without_persistence,baseline,ai_compact,0.3333333333333333,0.3378787878787879,0.004545454545454575,0.07407407407407407,0.1619047619047619,0.08783068783068784,0.08333333333333333,0.16666666666666666,0.08333333333333333,2020
logistic_regression,compact_with_persistence,baseline_with_persistence,ai_compact_with_persistence,0.2526455026455026,0.33968253968253964,0.08703703703703702,0.14074074074074075,0.1619047619047619,0.021164021164021163,0.16666666666666666,0.16666666666666666,0.0,2020
xgboost,compact_without_persistence,baseline,ai_compact,0.14285714285714285,0.13333333333333333,-0.009523809523809518,0.17777777777777778,0.13468013468013468,-0.04309764309764311,0.16666666666666666,0.16666666666666666,0.0,2020
xgboost,compact_with_persistence,baseline_with_persistence,ai_compact_with_persistence,0.14285714285714285,0.13333333333333333,-0.009523809523809518,0.20000000000000004,0.19444444444444442,-0.005555555555555619,0.16666666666666666,0.25,0.08333333333333334,2020
logistic_regression,compact_without_persistence,baseline,ai_compact,0.2333333333333333,0.3267195767195767,0.09338624338624338,0.0,0.06060606060606061,0.06060606060606061,0.0,0.08333333333333333,0.08333333333333333,2021
logistic_regression,compact_with_persistence,baseline_with_persistence,ai_compact_with_persistence,0.16666666666666666,0.3238095238095238,0.15714285714285717,0.06060606060606061,0.14074074074074075,0.08013468013468014,0.08333333333333333,0.16666666666666666,0.08333333333333333,2021
xgboost,compact_without_persistence,baseline,ai_compact,0.3333333333333333,0.13333333333333333,-0.19999999999999998,0.20000000000000004,0.14393939393939395,-0.05606060606060609,0.16666666666666666,0.16666666666666666,0.0,2021
xgboost,compact_with_persistence,baseline_with_persistence,ai_compact_with_persistence,0.26936026936026936,0.13333333333333333,-0.13602693602693602,0.20000000000000004,0.24444444444444446,0.044444444444444425,0.16666666666666666,0.3333333333333333,0.16666666666666666,2021
logistic_regression,compact_without_persistence,baseline,ai_compact,0.2510822510822511,0.26495726495726496,0.013875013875013886,0.0,0.06060606060606061,0.06060606060606061,0.0,0.08333333333333333,0.08333333333333333,2022
logistic_regression,compact_with_persistence,baseline_with_persistence,ai_compact_with_persistence,0.266955266955267,0.26495726495726496,-0.0019980019980020414,0.14074074074074075,0.06060606060606061,-0.08013468013468014,0.16666666666666666,0.08333333333333333,-0.08333333333333333,2022
xgboost,compact_without_persistence,baseline,ai_compact,0.2490842490842491,0.14285714285714285,-0.10622710622710624,0.20000000000000004,0.06666666666666667,-0.13333333333333336,0.16666666666666666,0.08333333333333333,-0.08333333333333333,2022
xgboost,compact_with_persistence,baseline_with_persistence,ai_compact_with_persistence,0.2490842490842491,0.14285714285714285,-0.10622710622710624,0.17777777777777778,0.06666666666666667,-0.11111111111111112,0.16666666666666666,0.08333333333333333,-0.08333333333333333,2022
