period_start_year,period_start_month,period_end_month,validation_start_month,validation_end_month,test_start_month,test_end_month,n_rows_total,n_rows_train,n_rows_validation,n_rows_test,result_id,feature_set,model_name,status,feature_count,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,skip_reason,evaluation_split
2020,2020-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,75,51.0,12.0,12.0,baseline::logistic_regression,baseline,logistic_regression,ok,14.0,0.3333333333333333,0.3444444444444444,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.07407407407407407,,
2020,2020-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,75,51.0,12.0,12.0,baseline::xgboost,baseline,xgboost,ok,14.0,0.25,0.3333333333333333,0.14285714285714285,0.16666666666666666,0.3703703703703704,0.17777777777777778,,
2020,2020-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,75,51.0,12.0,12.0,ai_compact::logistic_regression,ai_compact,logistic_regression,ok,51.0,0.3333333333333333,0.37222222222222223,0.3378787878787879,0.16666666666666666,0.20370370370370372,0.1619047619047619,,
2020,2020-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,75,51.0,12.0,12.0,ai_compact::xgboost,ai_compact,xgboost,ok,51.0,0.25,0.3333333333333333,0.13333333333333333,0.16666666666666666,0.20370370370370372,0.13468013468013468,,
2020,2020-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,75,51.0,12.0,12.0,baseline_with_persistence::logistic_regression,baseline_with_persistence,logistic_regression,ok,18.0,0.25,0.26111111111111107,0.2526455026455026,0.16666666666666666,0.20370370370370372,0.14074074074074075,,
2020,2020-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,75,51.0,12.0,12.0,baseline_with_persistence::xgboost,baseline_with_persistence,xgboost,ok,18.0,0.25,0.3333333333333333,0.14285714285714285,0.16666666666666666,0.3703703703703704,0.20000000000000004,,
2020,2020-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,75,51.0,12.0,12.0,ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ok,55.0,0.3333333333333333,0.37222222222222223,0.33968253968253964,0.16666666666666666,0.20370370370370372,0.1619047619047619,,
2020,2020-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,75,51.0,12.0,12.0,ai_compact_with_persistence::xgboost,ai_compact_with_persistence,xgboost,ok,55.0,0.25,0.3333333333333333,0.13333333333333333,0.25,0.24074074074074073,0.19444444444444442,,
2020,2020-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,75,51.0,12.0,12.0,naive::train_majority,naive,train_majority,ok,0.0,0.25,0.3333333333333333,0.13333333333333333,0.25,0.3333333333333333,0.13333333333333333,,validation
2020,2020-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,75,51.0,12.0,12.0,naive::previous_month_class,naive,previous_month_class,ok,0.0,0.3333333333333333,0.3444444444444444,0.335978835978836,0.3333333333333333,0.3444444444444444,0.335978835978836,,validation
